NUTS2;Gem_Code;Gemeindename;Jahr;PHH_Gesamt;PHH_1;PHH_2;PHH_3;PHH_4um;Pers_PHH;durchschn_HHG;Nicht_PHH;PHH_Gesamt;PHH_1;PHH_2;PHH_3;PHH_4um
AT31;40101;Linz (Stadt);1971;85.807;30.568;22.787;15.805;16.647;199.835;2,3;105;100,00%;35,60%;26,60%;18,40%;19,40%
AT31;40201;Steyr (Stadt);1971;15.374;4.095;4.276;3.136;3.867;40.205;2,6;17;100,00%;26,60%;27,80%;20,40%;25,20%
AT31;40301;Wels (Stadt);1971;17.097;4.236;4.741;3.401;4.719;46.541;2,7;17;100,00%;24,80%;27,70%;19,90%;27,60%
AT31;40401;Altheim;1971;1.517;344;354;225;594;4.745;3,1;4;100,00%;22,70%;23,30%;14,80%;39,20%
AT31;40402;Aspach;1971;591;96;121;75;299;2.230;3,8;1;100,00%;16,20%;20,50%;12,70%;50,60%
AT31;40403;Auerbach;1971;114;16;24;15;59;442;3,9;0;100,00%;14,00%;21,10%;13,20%;51,80%
AT31;40404;Braunau am Inn;1971;5.559;1.211;1.416;1.120;1.812;16.270;2,9;3;100,00%;21,80%;25,50%;20,10%;32,60%
AT31;40405;Burgkirchen;1971;608;94;113;119;282;2.142;3,5;0;100,00%;15,50%;18,60%;19,60%;46,40%
AT31;40406;Eggelsberg;1971;447;92;75;71;209;1.599;3,6;0;100,00%;20,60%;16,80%;15,90%;46,80%
AT31;40407;Feldkirchen bei Mattighofen;1971;412;54;64;52;242;1.678;4,1;0;100,00%;13,10%;15,50%;12,60%;58,70%
AT31;40408;Franking;1971;138;7;22;17;92;610;4,4;0;100,00%;5,10%;15,90%;12,30%;66,70%
AT31;40409;Geretsberg;1971;236;34;33;36;133;919;3,9;0;100,00%;14,40%;14,00%;15,30%;56,40%
AT31;40410;Gilgenberg am Weilhart;1971;279;35;45;50;149;1.098;3,9;0;100,00%;12,50%;16,10%;17,90%;53,40%
AT31;40411;Haigermoos;1971;101;8;16;16;61;426;4,2;0;100,00%;7,90%;15,80%;15,80%;60,40%
AT31;40412;Handenberg;1971;322;37;52;49;184;1.300;4;0;100,00%;11,50%;16,10%;15,20%;57,10%
AT31;40413;Helpfau-Uttendorf;1971;829;164;207;143;315;2.620;3,2;0;100,00%;19,80%;25,00%;17,20%;38,00%
AT31;40414;Hochburg-Ach;1971;912;176;202;167;367;2.992;3,3;0;100,00%;19,30%;22,10%;18,30%;40,20%
AT31;40415;Höhnhart;1971;355;42;63;56;194;1.430;4;0;100,00%;11,80%;17,70%;15,80%;54,60%
AT31;40416;Jeging;1971;114;14;27;16;57;431;3,8;0;100,00%;12,30%;23,70%;14,00%;50,00%
AT31;40417;Kirchberg bei Mattighofen;1971;204;26;31;32;115;815;4;0;100,00%;12,70%;15,20%;15,70%;56,40%
AT31;40418;Lengau;1971;1.250;250;310;210;480;3.897;3,1;0;100,00%;20,00%;24,80%;16,80%;38,40%
AT31;40419;Lochen;1971;509;110;92;72;235;1.752;3,4;0;100,00%;21,60%;18,10%;14,10%;46,20%
AT31;40420;Maria Schmolln;1971;264;26;51;27;160;1.098;4,2;3;100,00%;9,80%;19,30%;10,20%;60,60%
AT31;40421;Mattighofen;1971;1.585;372;474;295;444;4.357;2,7;1;100,00%;23,50%;29,90%;18,60%;28,00%
AT31;40422;Mauerkirchen;1971;766;193;192;116;265;2.237;2,9;0;100,00%;25,20%;25,10%;15,10%;34,60%
AT31;40423;Mining;1971;311;45;81;49;136;1.046;3,4;0;100,00%;14,50%;26,00%;15,80%;43,70%
AT31;40424;Moosbach;1971;216;33;36;37;110;803;3,7;0;100,00%;15,30%;16,70%;17,10%;50,90%
AT31;40425;Moosdorf;1971;315;54;68;53;140;1.111;3,5;0;100,00%;17,10%;21,60%;16,80%;44,40%
AT31;40426;Munderfing;1971;726;147;185;104;290;2.291;3,2;0;100,00%;20,20%;25,50%;14,30%;39,90%
AT31;40427;Neukirchen an der Enknach;1971;508;78;95;90;245;1.848;3,6;0;100,00%;15,40%;18,70%;17,70%;48,20%
AT31;40428;Ostermiething;1971;614;84;119;106;305;2.172;3,5;1;100,00%;13,70%;19,40%;17,30%;49,70%
AT31;40429;Palting;1971;172;21;31;29;91;675;3,9;0;100,00%;12,20%;18,00%;16,90%;52,90%
AT31;40430;Perwang am Grabensee;1971;133;21;19;17;76;517;3,9;0;100,00%;15,80%;14,30%;12,80%;57,10%
AT31;40431;Pfaffstätt;1971;224;41;59;35;89;710;3,2;0;100,00%;18,30%;26,30%;15,60%;39,70%
AT31;40432;Pischelsdorf am Engelbach;1971;392;60;72;61;199;1.465;3,7;0;100,00%;15,30%;18,40%;15,60%;50,80%
AT31;40433;Polling im Innkreis;1971;258;30;61;38;129;963;3,7;0;100,00%;11,60%;23,60%;14,70%;50,00%
AT31;40434;Roßbach;1971;219;31;40;31;117;841;3,8;0;100,00%;14,20%;18,30%;14,20%;53,40%
AT31;40435;Sankt Georgen am Fillmannsbach;1971;80;9;6;8;57;362;4,5;0;100,00%;11,30%;7,50%;10,00%;71,30%
AT31;40436;Sankt Johann am Walde;1971;488;58;89;80;261;1.938;4;0;100,00%;11,90%;18,20%;16,40%;53,50%
AT31;40437;Sankt Pantaleon;1971;901;155;167;187;392;3.043;3,4;0;100,00%;17,20%;18,50%;20,80%;43,50%
AT31;40438;Sankt Peter am Hart;1971;535;106;134;85;210;1.682;3,1;2;100,00%;19,80%;25,00%;15,90%;39,30%
AT31;40439;Sankt Radegund;1971;128;14;22;16;76;519;4,1;0;100,00%;10,90%;17,20%;12,50%;59,40%
AT31;40440;Sankt Veit im Innkreis;1971;89;12;13;13;51;352;4;0;100,00%;13,50%;14,60%;14,60%;57,30%
AT31;40441;Schalchen;1971;921;150;245;164;362;2.996;3,3;0;100,00%;16,30%;26,60%;17,80%;39,30%
AT31;40442;Schwand im Innkreis;1971;220;26;40;29;125;849;3,9;0;100,00%;11,80%;18,20%;13,20%;56,80%
AT31;40443;Tarsdorf;1971;362;44;53;46;219;1.517;4,2;0;100,00%;12,20%;14,60%;12,70%;60,50%
AT31;40444;Treubach;1971;164;10;42;25;87;640;3,9;0;100,00%;6,10%;25,60%;15,20%;53,00%
AT31;40445;Überackern;1971;153;24;35;30;64;515;3,4;0;100,00%;15,70%;22,90%;19,60%;41,80%
AT31;40446;Weng im Innkreis;1971;331;43;58;49;181;1.266;3,8;0;100,00%;13,00%;17,50%;14,80%;54,70%
AT31;40501;Alkoven;1971;1.148;157;272;216;503;3.916;3,4;2;100,00%;13,70%;23,70%;18,80%;43,80%
AT31;40502;Aschach an der Donau;1971;761;165;183;149;264;2.310;3;0;100,00%;21,70%;24,00%;19,60%;34,70%
AT31;40503;Eferding;1971;1.136;322;285;220;309;3.006;2,6;2;100,00%;28,30%;25,10%;19,40%;27,20%
AT31;40504;Fraham;1971;501;73;89;84;255;1.816;3,6;0;100,00%;14,60%;17,80%;16,80%;50,90%
AT31;40505;Haibach ob der Donau;1971;254;25;28;26;175;1.235;4,9;0;100,00%;9,80%;11,00%;10,20%;68,90%
AT31;40506;Hartkirchen;1971;823;76;128;113;506;3.590;4,4;0;100,00%;9,20%;15,60%;13,70%;61,50%
AT31;40507;Hinzenbach;1971;456;58;96;69;233;1.673;3,7;0;100,00%;12,70%;21,10%;15,10%;51,10%
AT31;40508;Prambachkirchen;1971;583;59;84;92;348;2.464;4,2;2;100,00%;10,10%;14,40%;15,80%;59,70%
AT31;40509;Pupping;1971;384;39;83;77;185;1.416;3,7;4;100,00%;10,20%;21,60%;20,10%;48,20%
AT31;40510;Sankt Marienkirchen an der Polsenz;1971;433;55;87;71;220;1.645;3,8;0;100,00%;12,70%;20,10%;16,40%;50,80%
AT31;40511;Scharten;1971;410;59;99;64;188;1.466;3,6;0;100,00%;14,40%;24,10%;15,60%;45,90%
AT31;40512;Stroheim;1971;299;18;33;25;223;1.483;5;0;100,00%;6,00%;11,00%;8,40%;74,60%
AT31;40601;Freistadt;1971;1.894;446;421;334;693;5.814;3,1;5;100,00%;23,50%;22,20%;17,60%;36,60%
AT31;40602;Grünbach;1971;338;37;44;46;211;1.569;4,6;0;100,00%;10,90%;13,00%;13,60%;62,40%
AT31;40603;Gutau;1971;524;55;72;73;324;2.360;4,5;0;100,00%;10,50%;13,70%;13,90%;61,80%
AT31;40604;Hagenberg im Mühlkreis;1971;394;40;64;61;229;1.583;4;0;100,00%;10,20%;16,20%;15,50%;58,10%
AT31;40605;Hirschbach im Mühlkreis;1971;235;19;21;30;165;1.186;5;0;100,00%;8,10%;8,90%;12,80%;70,20%
AT31;40606;Kaltenberg;1971;104;1;4;8;91;701;6,7;0;100,00%;1,00%;3,80%;7,70%;87,50%
AT31;40607;Kefermarkt;1971;447;81;72;54;240;1.798;4;0;100,00%;18,10%;16,10%;12,10%;53,70%
AT31;40608;Königswiesen;1971;587;45;69;62;411;2.921;5;0;100,00%;7,70%;11,80%;10,60%;70,00%
AT31;40609;Lasberg;1971;506;50;83;74;299;2.209;4,4;2;100,00%;9,90%;16,40%;14,60%;59,10%
AT31;40610;Leopoldschlag;1971;252;37;22;26;167;1.189;4,7;0;100,00%;14,70%;8,70%;10,30%;66,30%
AT31;40611;Liebenau;1971;427;28;34;53;312;2.249;5,3;0;100,00%;6,60%;8,00%;12,40%;73,10%
AT31;40612;Neumarkt im Mühlkreis;1971;515;47;54;69;345;2.485;4,8;0;100,00%;9,10%;10,50%;13,40%;67,00%
AT31;40613;Pierbach;1971;188;19;16;19;134;1.011;5,4;0;100,00%;10,10%;8,50%;10,10%;71,30%
AT31;40614;Pregarten;1971;1.017;241;199;167;410;3.310;3,3;0;100,00%;23,70%;19,60%;16,40%;40,30%
AT31;40615;Rainbach im Mühlkreis;1971;599;63;82;79;375;2.704;4,5;2;100,00%;10,50%;13,70%;13,20%;62,60%
AT31;40616;Sandl;1971;398;39;70;52;237;1.730;4,3;0;100,00%;9,80%;17,60%;13,10%;59,50%
AT31;40617;Sankt Leonhard bei Freistadt;1971;312;29;36;33;214;1.536;4,9;1;100,00%;9,30%;11,50%;10,60%;68,60%
AT31;40618;Sankt Oswald bei Freistadt;1971;542;62;91;77;312;2.273;4,2;0;100,00%;11,40%;16,80%;14,20%;57,60%
AT31;40619;Schönau im Mühlkreis;1971;318;22;31;26;239;1.708;5,4;0;100,00%;6,90%;9,70%;8,20%;75,20%
AT31;40620;Tragwein;1971;653;87;104;106;356;2.768;4,2;0;100,00%;13,30%;15,90%;16,20%;54,50%
AT31;40621;Unterweißenbach;1971;464;42;37;41;344;2.474;5,3;0;100,00%;9,10%;8,00%;8,80%;74,10%
AT31;40622;Unterweitersdorf;1971;201;13;30;37;121;893;4,4;0;100,00%;6,50%;14,90%;18,40%;60,20%
AT31;40623;Waldburg;1971;256;13;29;38;176;1.227;4,8;0;100,00%;5,10%;11,30%;14,80%;68,80%
AT31;40624;Wartberg ob der Aist;1971;558;75;87;100;296;2.195;3,9;2;100,00%;13,40%;15,60%;17,90%;53,00%
AT31;40625;Weitersfelden;1971;250;12;20;30;188;1.374;5,5;0;100,00%;4,80%;8,00%;12,00%;75,20%
AT31;40626;Windhaag bei Freistadt;1971;415;67;41;49;258;1.886;4,5;0;100,00%;16,10%;9,90%;11,80%;62,20%
AT31;40627;Bad Zell;1971;540;51;61;68;360;2.571;4,8;0;100,00%;9,40%;11,30%;12,60%;66,70%
AT31;40701;Altmünster;1971;2.561;542;612;478;929;7.810;3;4;100,00%;21,20%;23,90%;18,70%;36,30%
AT31;40702;Bad Goisern;1971;2.105;502;483;360;760;6.293;3;8;100,00%;23,80%;22,90%;17,10%;36,10%
AT31;40703;Bad Ischl;1971;4.887;1.553;1.286;791;1.257;12.535;2,6;22;100,00%;31,80%;26,30%;16,20%;25,70%
AT31;40704;Ebensee;1971;3.348;788;912;641;1.007;9.371;2,8;3;100,00%;23,50%;27,20%;19,10%;30,10%
AT31;40705;Gmunden;1971;4.674;1.347;1.308;854;1.165;12.116;2,6;11;100,00%;28,80%;28,00%;18,30%;24,90%
AT31;40706;Gosau;1971;532;84;106;102;240;1.793;3,4;2;100,00%;15,80%;19,90%;19,20%;45,10%
AT31;40707;Grünau im Almtal;1971;685;143;156;124;262;2.157;3,1;0;100,00%;20,90%;22,80%;18,10%;38,20%
AT31;40708;Gschwandt;1971;521;80;94;84;263;1.995;3,8;0;100,00%;15,40%;18,00%;16,10%;50,50%
AT31;40709;Hallstatt;1971;484;138;120;78;148;1.310;2,7;0;100,00%;28,50%;24,80%;16,10%;30,60%
AT31;40710;Kirchham;1971;350;37;62;40;211;1.477;4,2;2;100,00%;10,60%;17,70%;11,40%;60,30%
AT31;40711;Laakirchen;1971;2.398;447;564;492;895;7.591;3,2;2;100,00%;18,60%;23,50%;20,50%;37,30%
AT31;40712;Obertraun;1971;285;62;86;54;83;781;2,7;0;100,00%;21,80%;30,20%;18,90%;29,10%
AT31;40713;Ohlsdorf;1971;858;113;185;153;407;3.027;3,5;2;100,00%;13,20%;21,60%;17,80%;47,40%
AT31;40714;Pinsdorf;1971;901;173;221;180;327;2.716;3;0;100,00%;19,20%;24,50%;20,00%;36,30%
AT31;40715;Roitham;1971;513;82;102;84;245;1.851;3,6;0;100,00%;16,00%;19,90%;16,40%;47,80%
AT31;40716;Sankt Konrad;1971;185;26;28;18;113;747;4;0;100,00%;14,10%;15,10%;9,70%;61,10%
AT31;40717;Sankt Wolfgang im Salzkammergut;1971;796;225;140;123;308;2.479;3,1;2;100,00%;28,30%;17,60%;15,50%;38,70%
AT31;40718;Traunkirchen;1971;517;119;130;80;188;1.540;3;3;100,00%;23,00%;25,10%;15,50%;36,40%
AT31;40719;Scharnstein;1971;1.197;245;271;215;466;3.917;3,3;1;100,00%;20,50%;22,60%;18,00%;38,90%
AT31;40720;Vorchdorf;1971;1.552;250;285;256;761;5.668;3,7;2;100,00%;16,10%;18,40%;16,50%;49,00%
AT31;40801;Aistersheim;1971;177;29;35;25;88;641;3,6;0;100,00%;16,40%;19,80%;14,10%;49,70%
AT31;40802;Bad Schallerbach;1971;821;213;221;132;255;2.344;2,9;7;100,00%;25,90%;26,90%;16,10%;31,10%
AT31;40804;Eschenau im Hausruckkreis;1971;208;8;27;19;154;1.040;5;0;100,00%;3,80%;13,00%;9,10%;74,00%
AT31;40805;Gallspach;1971;675;216;155;106;198;1.857;2,8;2;100,00%;32,00%;23,00%;15,70%;29,30%
AT31;40806;Gaspoltshofen;1971;832;116;176;135;405;3.094;3,7;4;100,00%;13,90%;21,20%;16,20%;48,70%
AT31;40807;Geboltskirchen;1971;435;90;111;65;169;1.387;3,2;0;100,00%;20,70%;25,50%;14,90%;38,90%
AT31;40808;Grieskirchen;1971;1.492;378;368;260;486;4.327;2,9;6;100,00%;25,30%;24,70%;17,40%;32,60%
AT31;40809;Haag am Hausruck;1971;603;112;160;97;234;1.977;3,3;1;100,00%;18,60%;26,50%;16,10%;38,80%
AT31;40810;Heiligenberg;1971;135;13;12;11;99;662;4,9;0;100,00%;9,60%;8,90%;8,10%;73,30%
AT31;40811;Hofkirchen an der Trattnach;1971;345;54;59;54;178;1.350;3,9;0;100,00%;15,70%;17,10%;15,70%;51,60%
AT31;40812;Kallham;1971;723;93;166;104;360;2.682;3,7;0;100,00%;12,90%;23,00%;14,40%;49,80%
AT31;40813;Kematen am Innbach;1971;275;29;67;54;125;1.018;3,7;0;100,00%;10,50%;24,40%;19,60%;45,50%
